"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"38","220_Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240","Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240",36,220,"h00"," 0.0000000","37.0822072"," 0.3651028","12.3536292"," 1.2131141","10.6974773"," 1.7518148"
"39","222_Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240","Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240",36,222,"h00"," 0.0000000","30.9011625"," 0.2346788"," 8.1520853"," 0.6937404"," 7.1679423"," 2.2141614"
"40","223_Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240","Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240",36,223,"h0b"," 2.025305","42.715905"," 2.308454","10.053329"," 0.000000"," 3.174378"," 1.073733"
"41","224_Malmgren, B. A., W. A. Berggren, and G. P. Lohmann. 1983. Evidence for punctuated gradualism in the Late Neogene Globorotalia tumida lineage of planktonic foraminifera. Paleobiology 9:377-389.","Malmgren, B. A., W. A. Berggren, and G. P. Lohmann. 1983. Evidence for punctuated gradualism in the Late Neogene Globorotalia tumida lineage of planktonic foraminifera. Paleobiology 9:377-389.",47,224,"h00"," 0.000000","94.808299"," 1.885162","42.136790"," 1.814866","38.629270"," 3.813229"
"42","237_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,237,"h00"," 0.000000","16.790544"," 1.866440"," 5.330147"," 1.900871"," 4.767001"," 3.853308"
"43","238_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,238,"hmb"," 0.5002671","16.1893438"," 2.3160404"," 6.1424802"," 2.4928423"," 6.4196007"," 0.0000000"
"44","239_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,239,"h00"," 0.000000","24.247581"," 1.845237"," 9.585148"," 1.977668"," 8.032312"," 2.812552"
"45","240_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,240,"hm0"," 2.5522626","15.5925490"," 0.0000000"," 1.7874936"," 0.6837063"," 3.1882619"," 1.9579572"
"46","241_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,241,"h00"," 0.0000000","13.9159491"," 0.9815982"," 2.8769063"," 1.2062312"," 3.3287738"," 2.9100573"
"47","242_Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.","Pearson, P. N., and T. H. G. Ezard. 2014. Evolution and speciation in the Eocene planktonic foraminifer Turborotalia. Paleobiology 40:130-143.",21,242,"hm0"," 0.2742694","17.7023298"," 0.0000000"," 4.2841318"," 0.8296998"," 5.0275574"," 1.0063163"
